# utc: 2026-07-24T14:27:12+00:00
# cpu: AMD EPYC 7B13 64-Core Processor
# threads: 128
# core_quota: 61.44
# ram_gb: 504
# clang: Ubuntu clang version 18.1.8 (++20240731024944+3b5b5c1ec4a3-1~exp1~20240731145000.144)
leg,N,ms,gflops,note
chapel-f64,128,0.1140,36.79,-7312.0 clast=-933.0
chapel-f64,256,1.5310,21.92,-3694.0 clast=10946.0
chapel-f64,512,8.7690,30.61,-22592.0 clast=-38634.0
chapel-f64,1024,103.1840,20.81,11107.0 clast=91690.0
chapel-f64,2048,1170.3840,14.68,-1045.0 clast=51275.0
chapel-f64,4096,9900.0590,13.88,74348.0 clast=-302529.0
cpp-mt-f32,64,0.0062,84.56,1047.0 clast=2107.0 T=62
cpp-mt-f32,128,0.0615,68.20,-7312.0 clast=-933.0 T=62
cpp-mt-f32,256,0.4797,69.95,-3694.0 clast=10946.0 T=62
cpp-mt-f32,512,6.8186,39.37,-22592.0 clast=-38634.0 T=62
cpp-mt-f32,1024,122.6287,17.51,11107.0 clast=91690.0 T=62
cpp-mt-f32,2048,1097.5276,15.65,-1045.0 clast=51275.0 T=62
cpp-mt-f32,4096,9305.0584,14.77,74348.0 clast=-302529.0 T=62
cpp-mt-f64,64,0.0085,61.68,1047.0 clast=2107.0 T=62
cpp-mt-f64,128,0.0666,62.98,-7312.0 clast=-933.0 T=62
cpp-mt-f64,256,0.7759,43.25,-3694.0 clast=10946.0 T=62
cpp-mt-f64,512,12.5612,21.37,-22592.0 clast=-38634.0 T=62
cpp-mt-f64,1024,102.7344,20.90,11107.0 clast=91690.0 T=62
cpp-mt-f64,2048,1135.0226,15.14,-1045.0 clast=51275.0 T=62
cpp-mt-f64,4096,9726.9935,14.13,74348.0 clast=-302529.0 T=62
rust-mt,64,0.0090,58.25,1047.0 clast=2107.0 T=61
rust-mt,128,0.0879,47.72,-7312.0 clast=-933.0 T=61
rust-mt,256,0.5597,59.95,-3694.0 clast=10946.0 T=61
rust-mt,512,6.9088,38.85,-22592.0 clast=-38634.0 T=61
