leg,N,ms,gflops,note
cpp-naive-f64,128,2.7519,1.52,-7312.0 clast=-933.0
cpp-naive-f64,256,40.9260,0.82,-3694.0 clast=10946.0
cpp-naive-f64,512,922.9927,0.29,-22592.0 clast=-38634.0
cpp-naive-f64,1024,60804.1331,0.04,11107.0 clast=91690.0
chapel-f32,64,0.0560,9.36,1047.0 clast=2107.0
chapel-f32,128,0.1510,27.78,-7312.0 clast=-933.0
chapel-f32,256,0.8590,39.06,-3694.0 clast=10946.0
chapel-f32,512,12.6440,21.23,-22592.0 clast=-38634.0
chapel-f32,1024,135.2580,15.88,11107.0 clast=91690.0
chapel-f64,64,0.0650,8.07,1047.0 clast=2107.0
chapel-f64,128,0.1460,28.73,-7312.0 clast=-933.0
chapel-f64,256,1.3770,24.37,-3694.0 clast=10946.0
chapel-f64,512,16.5670,16.20,-22592.0 clast=-38634.0
chapel-f64,1024,140.9880,15.23,11107.0 clast=91690.0
flow-llvm-cap-compute-f64-clang18,256,1.6318,20.57,out=-3694/10946
flow-llvm-cap-compute-f64-clang18,512,5.6146,47.82,out=-22592/-38634
flow-llvm-cap-compute-f64-clang18,1024,33.9324,63.29,out=11107/91690
flow-llvm-cap-compute-f32-clang18,256,0.9545,35.15,out=-3694/10946
flow-llvm-cap-compute-f32-clang18,512,3.8379,69.95,out=-22592/-38634
flow-llvm-cap-compute-f32-clang18,1024,15.7363,136.48,out=11107/91690
flow-llvm-cap-compute-f32-clang18-1t,1024,352.5514,6.09,out=11107/91690
flow-llvm-cap-compute-f64-clang15-retime,1024,29.4763,72.86,out=11107/91690
